ScholarshipID,ScholarshipName,State,Qualification,Category,Origin,Type,Availability,Amount,Deadline,ApplicationLink,Description
ID-1,Vidya Siri Scholarship,Karnataka,Class I - IV,General,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Class I - IV in Karnataka.
ID-2,Vidya Siri Scholarship,Karnataka,Class I - IV,SC/ST/OBC,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Class I - IV in Karnataka.
ID-3,Vidya Siri Scholarship,Karnataka,Class I - IV,Girls,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Class I - IV in Karnataka.
ID-4,Vidya Siri Scholarship,Karnataka,Class I - IV,Minority,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Class I - IV in Karnataka.
ID-5,Vidya Siri Scholarship,Karnataka,Class I - IV,Economically Backward Class,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Class I - IV in Karnataka.
ID-6,Vidya Siri Scholarship,Karnataka,Class I - IV,BPL,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Class I - IV in Karnataka.
ID-7,Vidya Siri Scholarship,Karnataka,Class V - VIII,General,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Class V - VIII in Karnataka.
ID-8,Vidya Siri Scholarship,Karnataka,Class V - VIII,SC/ST/OBC,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Class V - VIII in Karnataka.
ID-9,Vidya Siri Scholarship,Karnataka,Class V - VIII,Girls,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Class V - VIII in Karnataka.
ID-10,Vidya Siri Scholarship,Karnataka,Class V - VIII,Minority,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Class V - VIII in Karnataka.
ID-11,Vidya Siri Scholarship,Karnataka,Class V - VIII,Economically Backward Class,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Class V - VIII in Karnataka.
ID-12,Vidya Siri Scholarship,Karnataka,Class V - VIII,BPL,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Class V - VIII in Karnataka.
ID-13,Vidya Siri Scholarship,Karnataka,Class IX - X,General,National,Scholarship,Active,25000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Class IX - X in Karnataka.
ID-14,Vidya Siri Scholarship,Karnataka,Class IX - X,SC/ST/OBC,National,Scholarship,Active,30000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Class IX - X in Karnataka.
ID-15,Vidya Siri Scholarship,Karnataka,Class IX - X,Girls,National,Scholarship,Active,35000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Class IX - X in Karnataka.
ID-16,Vidya Siri Scholarship,Karnataka,Class IX - X,Minority,National,Scholarship,Active,40000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Class IX - X in Karnataka.
ID-17,Vidya Siri Scholarship,Karnataka,Class IX - X,Economically Backward Class,National,Scholarship,Active,45000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Economically Backward Class students pursuing Class IX - X in Karnataka.
ID-18,Vidya Siri Scholarship,Karnataka,Class IX - X,BPL,National,Scholarship,Active,50000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to BPL students pursuing Class IX - X in Karnataka.
ID-19,Vidya Siri Scholarship,Karnataka,Class XI - XII,General,National,Scholarship,Active,55000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to General students pursuing Class XI - XII in Karnataka.
ID-20,Vidya Siri Scholarship,Karnataka,Class XI - XII,SC/ST/OBC,National,Scholarship,Active,10000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to SC/ST/OBC students pursuing Class XI - XII in Karnataka.
ID-21,Vidya Siri Scholarship,Karnataka,Class XI - XII,Girls,National,Scholarship,Active,15000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Girls students pursuing Class XI - XII in Karnataka.
ID-22,Vidya Siri Scholarship,Karnataka,Class XI - XII,Minority,National,Scholarship,Active,20000,31-12-2025,https://scholarships.gov.in/home,The Vidya Siri Scholarship provides financial assistance to Minority students pursuing Class XI - XII in Karnataka.
